ar,ma,garch.p,garch.q,AIC,BIC
2,1,1,1,-3.82413308965071,-3.80300139273997
1,2,1,1,-3.82378316455277,-3.80265146764203
2,1,2,1,-3.82644593084454,-3.8022954200894
1,2,2,1,-3.8261276500647,-3.80197713930956
0,0,1,1,-3.81269101849586,-3.80061576311829
2,1,1,2,-3.8238140202877,-3.79966350953256
1,2,1,2,-3.82344444416166,-3.79929393340651
2,2,1,1,-3.82314842984376,-3.79899791908862
1,0,1,1,-3.81405284010904,-3.79895877088707
2,1,2,2,-3.82606291067933,-3.79889358607979
0,1,1,1,-3.81388554804001,-3.79879147881805
1,2,2,2,-3.82572425031533,-3.7985549257158
2,2,2,1,-3.82545730486475,-3.79828798026522
0,0,2,1,-3.81230216389385,-3.79720809467188
0,0,1,2,-3.81180780119432,-3.79671373197236
0,2,1,1,-3.81402965592191,-3.79591677285555
2,0,1,1,-3.8138880073593,-3.79577512429295
2,2,1,2,-3.82283873897523,-3.7956694143757
1,0,2,1,-3.81364636887383,-3.79553348580747
1,1,1,1,-3.81360362367353,-3.79549074060718
0,1,2,1,-3.81347545904326,-3.79536257597691
1,0,1,2,-3.81317214713289,-3.79505926406653
2,2,2,2,-3.82508720100817,-3.79489906256425
0,1,1,2,-3.81299236276064,-3.79487947969429
0,0,2,2,-3.81182823489742,-3.79371535183107
0,2,2,1,-3.81410447332736,-3.79297277641661
2,0,2,1,-3.81394623337955,-3.7928145364688
0,2,1,2,-3.81358293607459,-3.79245123916384
2,0,1,2,-3.81343552561721,-3.79230382870646
1,1,2,1,-3.81321893090372,-3.79208723399297
1,0,2,2,-3.81317500238285,-3.7920433054721
0,1,2,2,-3.81299101872588,-3.79185932181514
1,1,1,2,-3.81276333725646,-3.79163164034571
0,2,2,2,-3.81370922225989,-3.78955871150475
2,0,2,2,-3.81354584301499,-3.78939533225985
1,1,2,2,-3.81279594795487,-3.78864543719973
2,1,2,0,-3.75552472208586,-3.73439302517511
1,2,2,0,-3.75497724707886,-3.73384555016811
2,2,2,0,-3.75505133423831,-3.73090082348317
0,0,2,0,-3.73732178526867,-3.7252465298911
1,0,2,0,-3.73811074424061,-3.72301667501864
0,1,2,0,-3.73789616251059,-3.72280209328863
0,2,2,0,-3.74005236506226,-3.72193948199591
2,0,2,0,-3.73970783818947,-3.72159495512311
1,1,2,0,-3.73805759236024,-3.71994470929389
2,1,1,0,-3.72908185049647,-3.71096896743011
1,2,1,0,-3.72877990775885,-3.7106670246925
1,1,1,0,-3.72508342769369,-3.70998935847173
0,0,1,0,-3.71711508384501,-3.70805864231183
1,0,1,0,-3.71793120009398,-3.70585594471641
0,1,1,0,-3.71779032370095,-3.70571506832338
2,1,0,1,-3.72145861099223,-3.70334572792587
0,2,1,0,-3.71818146483665,-3.70308739561468
1,2,0,1,-3.72118612867266,-3.70307324560631
2,0,1,0,-3.71807215918552,-3.70297808996356
1,0,0,1,-3.71157295273641,-3.69949769735883
0,1,0,1,-3.71139197296682,-3.69931671758925
2,2,0,1,-3.72036443734465,-3.6992327404339
2,1,0,2,-3.72036272243275,-3.699231025522
1,2,0,2,-3.72009022816003,-3.69895853124928
0,2,0,1,-3.71126895319126,-3.69617488396929
2,0,0,1,-3.71121975099538,-3.69612568177342
1,0,0,2,-3.71069640630265,-3.69560233708069
0,1,0,2,-3.71051514084641,-3.69542107162445
0,0,0,2,-3.70747638963101,-3.69540113425344
2,2,1,0,-3.7156464816717,-3.69451478476095
0,2,0,2,-3.71017170917662,-3.69205882611027
2,0,0,2,-3.71012385605211,-3.69201097298575
1,1,0,2,-3.70994271927905,-3.69182983621269
2,2,0,2,-3.71464710443171,-3.69049659367657
0,0,0,1,,
1,1,0,1,,
